IdCliente,Nombre,Apellido,Nacimiento,Género,Estado Civil,Educación,Ocupación,País,Ciudad,Hijos,Ingresos
28866,Aaron,Adams,1974-02-05 00:00:00,Hombre,Soltero/a,EFP,Obrero Calificado,Estados Unidos,Downey,0,50000
20285,Aaron,Alexander,1976-10-21 00:00:00,Hombre,Casado/a,Máster,Obrero Calificado,Estados Unidos,Kirkland,0,40000
20075,Aaron,Allen,1953-05-18 00:00:00,Hombre,Soltero/a,Máster,Militar,Canadá,Sooke,2,10000
17862,Aaron,Baker,1960-03-18 00:00:00,Hombre,Casado/a,Máster,Obrero Calificado,Estados Unidos,Renton,4,40000
12067,Aaron,Bryant,1944-11-14 00:00:00,Hombre,Soltero/a,Bachiller,Directivo,Estados Unidos,Redwood City,4,70000
21414,Aaron,Butler,1974-06-07 00:00:00,Hombre,Casado/a,EFP,Profesional,Estados Unidos,Lebanon,0,60000
21151,Aaron,Campbell,1967-12-22 00:00:00,Hombre,Soltero/a,ESO,Profesional,Estados Unidos,Bellflower,0,60000
27916,Aaron,Carter,1974-03-19 00:00:00,Hombre,Soltero/a,EFP,Obrero Calificado,Estados Unidos,Woodland Hills,0,50000
28187,Aaron,Chen,1959-11-13 00:00:00,Hombre,Casado/a,Bachiller,Profesional,Estados Unidos,Los Angeles,4,60000
16749,Aaron,Coleman,1974-05-10 00:00:00,Hombre,Soltero/a,EFP,Obrero Calificado,Estados Unidos,Santa Monica,0,30000
27663,Aaron,Collins,1960-09-24 00:00:00,Hombre,Soltero/a,ESO,Directivo,Estados Unidos,Santa Cruz,1,170000
18695,Aaron,Diaz,1969-11-04 00:00:00,Hombre,Casado/a,Bachiller,Profesional,Australia,Melton,2,90000
19692,Aaron,Edwards,1963-11-15 00:00:00,Hombre,Casado/a,Bachiller,Directivo,Estados Unidos,Beverly Hills,4,110000
25415,Aaron,Evans,1970-02-25 00:00:00,Hombre,Soltero/a,ESO,Profesional,Estados Unidos,Daly City,4,70000
14617,Aaron,Flores,1963-02-03 00:00:00,Hombre,Soltero/a,Bachiller,Profesional,Estados Unidos,Edmonds,0,60000
15566,Aaron,Foster,1959-09-25 00:00:00,Hombre,Casado/a,ESO,Profesional,Canadá,Newton,2,70000
18804,Aaron,Gonzales,1971-05-26 00:00:00,Hombre,Casado/a,ESO,Obrero Calificado,Estados Unidos,Novato,1,60000
20123,Aaron,Gonzalez,1973-04-05 00:00:00,Hombre,Casado/a,ESO,Obrero Calificado,Estados Unidos,Grossmont,1,40000
24953,Aaron,Green,1944-10-07 00:00:00,Hombre,Casado/a,Universitario,Funcionario,Estados Unidos,Seattle,5,30000
23791,Aaron,Griffin,1955-10-14 00:00:00,Hombre,Soltero/a,Universitario,Funcionario,Estados Unidos,Walla Walla,3,20000
27246,Aaron,Hall,1973-07-12 00:00:00,Hombre,Casado/a,ESO,Obrero Calificado,Estados Unidos,Lemon Grove,1,40000
15568,Aaron,Hayes,1958-01-11 00:00:00,Hombre,Casado/a,EFP,Obrero Calificado,Estados Unidos,Glendale,1,80000
28762,Aaron,Henderson,1974-11-12 00:00:00,Hombre,Casado/a,EFP,Funcionario,Estados Unidos,Oregon City,3,40000
18770,Aaron,Hernandez,1976-06-05 00:00:00,Hombre,Soltero/a,EFP,Obrero Calificado,Estados Unidos,Burbank,0,40000
25818,Aaron,Hill,1974-11-08 00:00:00,Hombre,Soltero/a,Bachiller,Profesional,Australia,Brisbane,0,80000
26694,Aaron,Hughes,1956-06-20 00:00:00,Hombre,Soltero/a,EFP,Profesional,Estados Unidos,Bellingham,3,80000
23170,Aaron,Jai,1968-09-14 00:00:00,Hombre,Soltero/a,Bachiller,Obrero Calificado,Estados Unidos,Burbank,2,70000
21240,Aaron,Jenkins,1979-09-02 00:00:00,Hombre,Soltero/a,Universitario,Funcionario,Estados Unidos,Torrance,0,30000
11739,Aaron,King,1959-05-14 00:00:00,Hombre,Casado/a,ESO,Profesional,Canadá,Shawnee,2,70000
27263,Aaron,Kumar,1970-07-28 00:00:00,Hombre,Casado/a,ESO,Profesional,Estados Unidos,San Diego,1,60000
13154,Aaron,Lal,1979-07-22 00:00:00,Hombre,Casado/a,Máster,Obrero Calificado,Estados Unidos,Edmonds,0,40000
15429,Aaron,Li,1979-04-19 00:00:00,Hombre,Casado/a,EFP,Obrero Calificado,Estados Unidos,West Covina,0,70000
27734,Aaron,McDonald,1977-02-06 00:00:00,Hombre,Soltero/a,Universitario,Funcionario,Canadá,Oak Bay,0,30000
26332,Aaron,Mitchell,1966-09-26 00:00:00,Hombre,Casado/a,Bachiller,Obrero Calificado,Estados Unidos,Lebanon,3,80000
26608,Aaron,Nelson,1963-07-17 00:00:00,Hombre,Soltero/a,ESO,Profesional,Estados Unidos,Beverly Hills,3,60000
19113,Aaron,Patterson,1970-10-11 00:00:00,Hombre,Casado/a,Bachiller,Obrero Calificado,Canadá,Royal Oak,1,50000
22165,Aaron,Perez,1976-11-01 00:00:00,Hombre,Casado/a,EFP,Obrero Calificado,Estados Unidos,Glendale,0,60000
13195,Aaron,Perry,1943-11-28 00:00:00,Hombre,Casado/a,Bachiller,Directivo,Estados Unidos,San Francisco,2,110000
24947,Aaron,Phillips,1941-02-05 00:00:00,Hombre,Soltero/a,Máster,Profesional,Canadá,Metchosin,4,40000
25241,Aaron,Powell,1958-12-25 00:00:00,Hombre,Casado/a,Bachiller,Profesional,Australia,Bendigo,2,90000
19025,Aaron,Roberts,1952-11-05 00:00:00,Hombre,Soltero/a,EFP,Profesional,Estados Unidos,Milwaukie,2,60000
11888,Aaron,Ross,1958-12-22 00:00:00,Hombre,Casado/a,Bachiller,Profesional,Canadá,Cliffside,1,60000
25599,Aaron,Russell,1969-06-08 00:00:00,Hombre,Soltero/a,Máster,Militar,Reino Unido,Cheltenham,2,10000
16751,Aaron,Scott,1973-12-13 00:00:00,Hombre,Casado/a,EFP,Obrero Calificado,Estados Unidos,Sedro Woolley,0,60000
20730,Aaron,Shan,1971-06-15 00:00:00,Hombre,Soltero/a,EFP,Funcionario,Reino Unido,Runcorn,2,40000
11801,Aaron,Sharma,1969-09-16 00:00:00,Hombre,Casado/a,ESO,Profesional,Estados Unidos,Beaverton,1,60000
13891,Aaron,Simmons,1966-12-07 00:00:00,Hombre,Casado/a,ESO,Profesional,Estados Unidos,Lakewood,0,60000
12163,Aaron,Wang,1963-09-05 00:00:00,Hombre,Soltero/a,Bachiller,Directivo,Estados Unidos,Santa Cruz,2,150000
24649,Aaron,Washington,1947-02-11 00:00:00,Hombre,Casado/a,Máster,Profesional,Canadá,Metchosin,4,40000
12650,Aaron,Wright,1950-03-06 00:00:00,Hombre,Casado/a,Máster,Directivo,Francia,Bobigny,4,90000
25196,Aaron,Yang,1954-10-24 00:00:00,Hombre,Casado/a,Máster,Profesional,Canadá,Langley,2,60000
12050,Aaron,Young,1967-09-14 00:00:00,Hombre,Soltero/a,ESO,Directivo,Estados Unidos,Lincoln Acres,0,110000
22768,Aaron,Zhang,1949-07-22 00:00:00,Hombre,Casado/a,Bachiller,Directivo,Estados Unidos,Burbank,2,60000
14800,Abby,Arthur,1965-01-03 00:00:00,Mujer,Casado/a,Bachiller,Obrero Calificado,Alemania,Solingen,1,30000
20946,Abby,Chandra,1976-03-27 00:00:00,Mujer,Soltero/a,EFP,Funcionario,Alemania,Paderborn,0,30000
11205,Abby,Fernandez,1948-07-24 00:00:00,Mujer,Casado/a,Máster,Profesional,Estados Unidos,Burien,2,40000
26948,Abby,Garcia,1970-06-21 00:00:00,Mujer,Soltero/a,EFP,Militar,Alemania,Hannover,0,20000
22480,Abby,Gonzalez,1966-05-12 00:00:00,Mujer,Casado/a,Bachiller,Obrero Calificado,Francia,Orly,1,30000
29054,Abby,Kapoor,1944-09-03 00:00:00,Mujer,Casado/a,Máster,Obrero Calificado,Australia,North Ryde,3,20000
25605,Abby,Kovár,1952-04-22 00:00:00,Mujer,Soltero/a,EFP,Militar,Reino Unido,Liverpool,2,20000
13444,Abby,Lopez,1962-05-05 00:00:00,Mujer,Soltero/a,Bachiller,Directivo,Estados Unidos,Beverly Hills,1,110000
19354,Abby,Madan,1977-03-01 00:00:00,Mujer,Soltero/a,Máster,Militar,Alemania,Stuttgart,0,20000
29333,Abby,Martinez,1937-09-10 00:00:00,Mujer,Soltero/a,Bachiller,Directivo,Australia,Townsville,2,40000
22179,Abby,Mehta,1954-02-08 00:00:00,Mujer,Casado/a,Universitario,Funcionario,Australia,Springwood,3,40000
16029,Abby,Patel,1946-11-08 00:00:00,Mujer,Casado/a,EFP,Funcionario,Australia,Springwood,2,30000
16195,Abby,Perez,1973-04-12 00:00:00,Mujer,Casado/a,Máster,Militar,Francia,Pantin,0,30000
15122,Abby,Raman,1976-12-11 00:00:00,Mujer,Soltero/a,Bachiller,Profesional,Australia,Townsville,0,70000
14534,Abby,Rana,1961-04-24 00:00:00,Mujer,Soltero/a,Bachiller,Militar,Francia,Chatou,1,10000
11101,Abby,Sai,1965-05-08 00:00:00,Mujer,Soltero/a,Bachiller,Profesional,Australia,Cranbourne,0,70000
19966,Abby,Sanchez,1972-07-23 00:00:00,Mujer,Casado/a,Bachiller,Profesional,Australia,Wollongong,0,90000
